elapsed_time,actual,predicted,match_id,arima_pred
0,0,-0.5072372287308267,2023-wimbledon-1301,0.0
38,1,0.2072000693472738,2023-wimbledon-1301,-0.5072371710662812
61,0,-0.1080705116466372,2023-wimbledon-1301,-0.14570394703161105
91,1,0.5775820967362262,2023-wimbledon-1301,-0.13706880196034288
141,1,1.1300752431985734,2023-wimbledon-1301,0.04879003765995027
170,0,0.4644154504000152,2023-wimbledon-1301,0.27066811667553936
213,1,1.0763285635120063,2023-wimbledon-1301,0.29478833747938693
241,0,0.1711002128012395,2023-wimbledon-1301,0.4134394945685499
288,1,0.4969162678294234,2023-wimbledon-1301,0.3723056794902678
332,1,0.4375421594369967,2023-wimbledon-1301,0.3900491525206377
425,0,-0.2482921973337307,2023-wimbledon-1301,0.3940697658380995
448,1,0.5329088878762788,2023-wimbledon-1301,0.32751856207406976
486,1,0.995325465333303,2023-wimbledon-1301,0.35403534175888984
521,0,0.3811154078450183,2023-wimbledon-1301,0.4088585287935361
551,0,0.5429414066454643,2023-wimbledon-1301,0.3994617164285515
577,1,0.5234185791120947,2023-wimbledon-1301,0.41096619598345163
620,0,0.5101035889912853,2023-wimbledon-1301,0.4177480765926871
645,0,0.2725315848601803,2023-wimbledon-1301,0.4230122457263268
684,1,1.1411424651246662,2023-wimbledon-1301,0.41179389190300986
707,1,0.4611178447257198,2023-wimbledon-1301,0.4606236670280598
737,0,0.4729052625951025,2023-wimbledon-1301,0.45243483358811576
764,1,0.9471779429828686,2023-wimbledon-1301,0.4535508862087171
806,1,0.4672868520164797,2023-wimbledon-1301,0.4816927808615033
931,0,-0.0313814293138773,2023-wimbledon-1301,0.4752708276228475
975,0,0.5176741219762402,2023-wimbledon-1301,0.44815783093639355
1007,0,-0.2097124502076318,2023-wimbledon-1301,0.4575675331747739
1028,0,0.3865744196834572,2023-wimbledon-1301,0.4231401390781502
1069,1,0.6599624189200103,2023-wimbledon-1301,0.4289891094021452
1105,1,0.4761218958746581,2023-wimbledon-1301,0.4405335075378289
1130,1,0.5600863745263076,2023-wimbledon-1301,0.4395392658197483
1160,0,-0.0260440084902018,2023-wimbledon-1301,0.4445686544603429
1203,0,0.5361257110392547,2023-wimbledon-1301,0.42231900236895575
1255,0,0.0256642706682914,2023-wimbledon-1301,0.4326630598456579
1287,1,0.6253900453840253,2023-wimbledon-1301,0.41417236719459355
1339,1,0.5822518659224076,2023-wimbledon-1301,0.42762438836728245
1462,0,0.5009205347858177,2023-wimbledon-1301,0.43151861918771217
1493,1,0.9824054264082108,2023-wimbledon-1301,0.43246299555393125
1565,0,0.5007085545935398,2023-wimbledon-1301,0.45313357481398553
1590,0,0.5142452792197428,2023-wimbledon-1301,0.4485668249264847
1616,0,0.5141751715557219,2023-wimbledon-1301,0.45041353298651465
1662,1,0.6423710437870096,2023-wimbledon-1301,0.45200595294088586
1717,1,0.9242600066665396,2023-wimbledon-1301,0.4581952307634574
1746,1,0.5854821231156927,2023-wimbledon-1301,0.4726918168623447
1772,0,0.4539880864794799,2023-wimbledon-1301,0.4712218903499762
1817,1,0.4972477670636063,2023-wimbledon-1301,0.4692421520679467
1954,0,0.4819045824871331,2023-wimbledon-1301,0.470386761715415
1977,1,0.952859601829201,2023-wimbledon-1301,0.47045173882254776
2013,0,-0.2491094671010565,2023-wimbledon-1301,0.48640049951429704
2038,1,0.9593687655957586,2023-wimbledon-1301,0.45656470401455695
